epoch,train_acc,train_loss,train_macro_f1,train_micro_f1,val_acc,val_loss,val_macro_f1,val_micro_f1
1,0.38348247576435496,1.798310165881755,0.3660050940576643,0.38348247576435496,0.4780014914243102,1.5899156403132644,0.44191504206222926,0.4780014914243102
2,0.546793437733035,1.365780064545844,0.5329330399733331,0.546793437733035,0.46308724832214765,1.712078211469316,0.45469303780189546,0.46308724832214765
3,0.640007457121551,1.0860332023910761,0.6266783676940542,0.640007457121551,0.5085756897837435,1.6566032479717872,0.4906570450204377,0.5085756897837435
4,0.6888516032811335,0.9431106260158871,0.6776196655040582,0.6888516032811335,0.5846383296047726,1.299887835846118,0.5689395475547516,0.5846383296047726
5,0.750186428038777,0.7880374572776664,0.7429804656867777,0.750186428038777,0.5794183445190156,1.353158030822862,0.567441999310148,0.5794183445190156
6,0.7777777777777778,0.6728816979150111,0.768780151834423,0.7777777777777778,0.6219239373601789,1.2233578924098003,0.5995849662333885,0.6219239373601789
7,0.8206562266964952,0.561432823149861,0.8162132947363149,0.8206562266964952,0.6092468307233407,1.273235578842789,0.6000436541960237,0.6092468307233407
8,0.8331469052945563,0.5065098870253937,0.8315937782799856,0.8331469052945563,0.6539895600298284,1.083337065757521,0.6556891315262269,0.6539895600298284
9,0.872296793437733,0.3877793107345689,0.8702090998415357,0.872296793437733,0.5548098434004475,1.7047183910116699,0.5618524909775988,0.5548098434004475
10,0.8974645786726324,0.3128299482227883,0.8962977841383821,0.8974645786726324,0.5324384787472036,2.078641256052198,0.50504370306221,0.5324384787472036
11,0.9097688292319165,0.2806830895560433,0.9080640916868685,0.9097688292319165,0.6778523489932886,1.1406239307611226,0.6642094055092674,0.6778523489932886
12,0.9196495152870992,0.24750333934422308,0.9186644256020963,0.9196495152870992,0.7061894108873975,1.1050758474714093,0.7029005880903819,0.7061894108873975
13,0.9748322147651006,0.09829941803088035,0.9742321940266986,0.9748322147651006,0.8105891126025354,0.6579253726001998,0.8061803983690599,0.8105891126025354
14,0.9871364653243848,0.05605099397439907,0.9875757200132295,0.9871364653243848,0.8001491424310216,0.738274593214594,0.79540333497923,0.8001491424310216
15,0.9880686055182699,0.05036165220225417,0.9882439120261985,0.9880686055182699,0.8240119313944817,0.6606756126053914,0.8169401032767886,0.8240119313944817
16,0.9927293064876958,0.03636576574209641,0.9928508040435111,0.9927293064876958,0.8269947800149142,0.6690044097719043,0.8221720074933203,0.8269947800149142
17,0.993847874720358,0.028768683617724847,0.994190385335867,0.993847874720358,0.8322147651006712,0.65838808019067,0.8254120080675551,0.8322147651006712
18,0.9968307233407905,0.015963711597353197,0.9969245921993458,0.9968307233407905,0.8493661446681581,0.5852323430941053,0.8423805538233392,0.8493661446681581
19,0.9968307233407905,0.015823148932699656,0.9970170111003845,0.9968307233407905,0.8411633109619687,0.6005911444390913,0.8332592846938208,0.8411633109619687
20,0.9983221476510067,0.012178009143967312,0.9985397428960593,0.9983221476510067,0.8426547352721849,0.6110094986594852,0.8360141571143795,0.8426547352721849
21,0.9985085756897838,0.00872191664534305,0.9986929104013516,0.9985085756897838,0.8501118568232662,0.5769794435753562,0.8440317991778188,0.8501118568232662
22,0.9983221476510067,0.01046570942103085,0.9985395574357517,0.9983221476510067,0.8516032811334825,0.5544230808614351,0.8439969939602339,0.8516032811334825
23,0.9973900074571216,0.009942154757022903,0.997529665060627,0.9973900074571216,0.8404175988068605,0.6060418587491905,0.8324445434207323,0.8404175988068605
24,0.9973900074571216,0.009831936656404356,0.9975106992250488,0.9973900074571216,0.8530947054436987,0.5725145995127986,0.8455075361241302,0.8530947054436987
25,0.9981357196122297,0.008134299788157346,0.9984029836665239,0.9981357196122297,0.8471290082028337,0.6041384110425854,0.8408656222955,0.8471290082028337
26,0.9977628635346756,0.008513780781272785,0.9979101658960555,0.9977628635346756,0.8426547352721849,0.6164610063425202,0.8352786290993784,0.8426547352721849
27,0.9973900074571216,0.0086039340708302,0.9975899076598594,0.9973900074571216,0.8478747203579419,0.595762248051691,0.8403862649149901,0.8478747203579419
28,0.9981357196122297,0.006636379171012832,0.9983784589871771,0.9981357196122297,0.8493661446681581,0.580664252963731,0.8429061612372771,0.8493661446681581
29,0.9992542878448919,0.004999017911024898,0.9993509951791508,0.9992542878448919,0.8478747203579419,0.5899075090351787,0.8410468595195714,0.8478747203579419
30,0.9992542878448919,0.004485099842406581,0.9993509951791508,0.9992542878448919,0.8508575689783744,0.5835279590331468,0.8430501543002162,0.8508575689783744
31,0.9986950037285608,0.004587737772555426,0.9988641002278068,0.9986950037285608,0.8530947054436987,0.5578163267959863,0.8464001558472405,0.8530947054436987
32,0.9988814317673378,0.004562686553737461,0.9990267303412061,0.9988814317673378,0.8560775540641312,0.5617019285869456,0.849491090460609,0.8560775540641312
