epoch,train_acc,train_loss,train_macro_f1,train_micro_f1,val_acc,val_loss,val_macro_f1,val_micro_f1
1,0.3899404135997196,0.014082841982538142,0.32281193451022105,0.3899404135997196,0.629292221443588,0.009480642887079055,0.4990543450072633,0.629292221443588
2,0.6086575534525062,0.009918326555068685,0.5510709957838819,0.6086575534525062,0.7379117028731604,0.007526370317537465,0.6749401959880033,0.7379117028731604
3,0.6876971608832808,0.008427629163087228,0.6469403795158193,0.6876971608832808,0.7736510161177295,0.006472165777250738,0.731625653723755,0.7736510161177295
4,0.7451805117420259,0.007114796372391009,0.7152241103437974,0.7451805117420259,0.8058864751226349,0.005866616584175249,0.7815152952283585,0.8058864751226349
5,0.775148966000701,0.006355718114924846,0.755447028208822,0.775148966000701,0.818500350385424,0.0053245148633899765,0.7888649365776532,0.818500350385424
6,0.8052926743778479,0.00571935401319977,0.7825317924236604,0.8052926743778479,0.833917309039944,0.005011796437989667,0.8203676653657174,0.833917309039944
7,0.8203645285664213,0.005255143240073293,0.7983563570229759,0.8203645285664213,0.8353188507358094,0.004751642612830462,0.8185489420293057,0.8353188507358094
8,0.8382404486505433,0.004812104460313888,0.8232323655832413,0.8382404486505433,0.8451296426068675,0.004560195075344104,0.8280836997875937,0.8451296426068675
9,0.852260778128286,0.004439462512787699,0.8395530745275795,0.852260778128286,0.8549404344779257,0.004271792285092117,0.823825880219384,0.8549404344779257
10,0.8585699263932702,0.004226817062292399,0.8431907002311257,0.8585699263932702,0.8437281009110021,0.004316782831072744,0.8235413085858506,0.8437281009110021
11,0.8622502628811777,0.004064763346203834,0.8551182439121564,0.8622502628811777,0.8479327259985985,0.004285873766249723,0.8055653069763207,0.8479327259985985
12,0.8797756747283562,0.0036891648488571686,0.8730039851444008,0.8797756747283562,0.869656622284513,0.0037017946334499618,0.8567323626162023,0.869656622284513
13,0.8936207500876271,0.0034462372514347766,0.8858684199613605,0.8936207500876271,0.8752627890679747,0.003580502555500024,0.8623182085615829,0.8752627890679747
14,0.9029092183666316,0.003205728444247613,0.8981803766583416,0.9029092183666316,0.8710581639803784,0.0034810121878642215,0.8570105327173968,0.8710581639803784
15,0.9016824395373291,0.003100433459820776,0.8965857398120203,0.9016824395373291,0.8703573931324456,0.003680655328438114,0.8516132581109962,0.8703573931324456
16,0.9092183666316158,0.002934095627653402,0.9054852159953027,0.9092183666316158,0.885073580939033,0.00331778271442257,0.8763907903254834,0.885073580939033
17,0.9165790396074308,0.002749579663519332,0.911782321179289,0.9165790396074308,0.8878766643307638,0.0033492011692930995,0.8834488085968156,0.8878766643307638
18,0.919558359621451,0.0026678055118168112,0.9153760119223425,0.919558359621451,0.885073580939033,0.0032051077778904734,0.8610434994784429,0.885073580939033
19,0.9234139502278303,0.002554819123562239,0.9210606604213402,0.9234139502278303,0.8857743517869656,0.003154513926050132,0.877080570065527,0.8857743517869656
20,0.9207851384507536,0.002459417314105757,0.9183226800830627,0.9207851384507536,0.8941836019621584,0.0030883372498293734,0.8805247480508782,0.8941836019621584
21,0.9288468279004557,0.002361484125577752,0.9297664740011172,0.9288468279004557,0.8906797477224947,0.0030583646912036365,0.8781783824524008,0.8906797477224947
22,0.9276200490711531,0.002309906525957495,0.9275925384748175,0.9276200490711531,0.9032936229852838,0.002960389585723055,0.8920368150360075,0.9032936229852838
23,0.9323519102698914,0.0022345571150324908,0.9266638622945547,0.9323519102698914,0.8969866853538893,0.0029573622730723107,0.8793523531433509,0.8969866853538893
24,0.9425166491412548,0.002064611348188053,0.9394405530347509,0.9425166491412548,0.897687456201822,0.002911064349579577,0.8850637225588027,0.897687456201822
25,0.938310550297932,0.002079373520260035,0.934653509988337,0.938310550297932,0.8941836019621584,0.0029236858122614648,0.8719211954888876,0.8941836019621584
26,0.944794952681388,0.0019052927607531365,0.9441218633417202,0.944794952681388,0.882270497547302,0.003219260270273301,0.8777255426853461,0.882270497547302
27,0.9474237644584648,0.0019298449887927064,0.9509833029101417,0.9474237644584648,0.9018920812894183,0.002919594460632326,0.8932995959854756,0.9018920812894183
28,0.9467227479845777,0.0018558804194850646,0.9468609234529091,0.9467227479845777,0.8969866853538893,0.0029058820390506024,0.8857173996763549,0.8969866853538893
29,0.9474237644584648,0.001827888160183715,0.9458326682043143,0.9474237644584648,0.9025928521373511,0.0028628901126203873,0.8932364935570297,0.9025928521373511
30,0.9549596915527515,0.0017274214164378389,0.9504332613409306,0.9549596915527515,0.9032936229852838,0.0028338062745984316,0.8855826100887462,0.9032936229852838
31,0.9581142656852436,0.0016802975358611218,0.9587152337867888,0.9581142656852436,0.897687456201822,0.0028905892547561977,0.8751296698278168,0.897687456201822
32,0.9579390115667719,0.0016059480524921246,0.9564725057097988,0.9579390115667719,0.9025928521373511,0.002781160030260776,0.8838398199161169,0.9025928521373511
33,0.9563617245005258,0.001603083581723406,0.9567531215228254,0.9563617245005258,0.9046951646811493,0.002904489641968675,0.8857201546144303,0.9046951646811493
