epoch,train_loss,val_loss,train_micro_f1,val_micro_f1,train_macro_f1,val_macro_f1,train_exact_match,val_exact_match
1,0.2350349193698955,0.1773219882434117,0.05976149001741927,0.1991657977059437,0.04496778651397374,0.08437348308731166,0.024150943396226414,0.11171497584541062
2,0.18035552056330556,0.16618714528383263,0.2392950229614,0.33649075327018496,0.15222890791392246,0.17517537810352382,0.1329811320754717,0.19806763285024154
3,0.163192560362366,0.14313207113224527,0.335194231216562,0.42305986696230596,0.2215718326650667,0.2655434346899633,0.20105660377358492,0.28743961352657005
4,0.15288381536951604,0.14007939707829756,0.39454870420017873,0.49523809523809526,0.269917841645338,0.2995190248688303,0.2528301886792453,0.3786231884057971
5,0.145372838944759,0.14630546575583123,0.43275488069414314,0.44454148471615723,0.2969989235796977,0.2971073137659425,0.28573584905660376,0.3073671497584541
6,0.13886069850651722,0.11836145789438976,0.46093584586068176,0.5362198168193172,0.32127579001882095,0.3518767796792929,0.3142641509433962,0.3822463768115942
7,0.13491750000782732,0.13714974103630453,0.4845222072678331,0.4472049689440994,0.35104246630727964,0.34723766347078205,0.33569811320754717,0.3001207729468599
8,0.1291018737127196,0.12693320466700383,0.5073926786988886,0.5561416729464959,0.38306541132066324,0.3807183315624601,0.36030188679245284,0.4281400966183575
9,0.1235538308485499,0.11292476804504072,0.5397324940991345,0.5857707509881422,0.41892923603506255,0.41779753365442646,0.3948679245283019,0.4426328502415459
10,0.12137954489689953,0.11002581077065444,0.5538793103448276,0.603670441233893,0.43907234963422087,0.5136607171675652,0.4096603773584906,0.4577294685990338
11,0.11592467198281918,0.10144102184668831,0.5817381316998469,0.6357115892789732,0.4794467568619903,0.4824131707054792,0.43592452830188677,0.5
12,0.11300698976471739,0.11476246487115316,0.6007935008501795,0.6412525527569776,0.4984891421161089,0.5039714454910178,0.457811320754717,0.5271739130434783
13,0.10838144278976153,0.09334362269455684,0.6177699377959335,0.6971782518926359,0.5165607642208506,0.5888758864435942,0.4769811320754717,0.5803140096618358
14,0.10851568253984992,0.0932632613081287,0.6257045181557793,0.7056762438682551,0.5289402643259496,0.5575199394479253,0.48603773584905663,0.5857487922705314
15,0.10318356791082418,0.08332147298083789,0.6427596250113771,0.7366956521739131,0.5545455530787284,0.6514142492580983,0.505811320754717,0.6256038647342995
16,0.1046725480691442,0.09321412224556513,0.6399781141710742,0.7057620184111831,0.5495771310935068,0.5900711789731342,0.503245283018868,0.5990338164251208
17,0.09899057012009171,0.0867451977542633,0.667260261775443,0.7421981004070556,0.5872802585297282,0.6240705313307238,0.536,0.6328502415458938
18,0.0948116001214059,0.10664570810282288,0.6856588463573823,0.670465973851827,0.6046788258075747,0.5897522584501593,0.5572830188679245,0.5736714975845411
19,0.0915449784116925,0.08061445526022842,0.6989219037601894,0.7443915703602991,0.6298332622543079,0.6818191661903257,0.571622641509434,0.6382850241545893
20,0.09104619185879545,0.09846433637222805,0.7002791346824843,0.7073170731707317,0.6265550790552565,0.6213656201483464,0.5725283018867925,0.6207729468599034
21,0.09107309315339575,0.07651429691752373,0.6982135076252723,0.7602649006622516,0.6256039622387407,0.6857496145148949,0.5689056603773585,0.6714975845410628
22,0.08971354206553045,0.07736509894403283,0.7026228938683342,0.7607482769937643,0.6297956075087184,0.6851962736189695,0.577811320754717,0.6708937198067633
23,0.08815383229165707,0.08699272213062802,0.7110071880142028,0.7381116471399035,0.6431333970856836,0.6727887374397193,0.5850566037735849,0.6231884057971014
24,0.08438084650939366,0.0743970940798377,0.7286742034943474,0.765146358066712,0.6685357469775643,0.6758651211991034,0.6075471698113207,0.6606280193236715
25,0.08344884737932456,0.09829971248256987,0.7411374649324152,0.6983372921615202,0.6843649060373564,0.5589965065974051,0.6209811320754717,0.586352657004831
26,0.08474166938043991,0.07169536522765091,0.7308051242894714,0.7683540060341938,0.6709466640759024,0.7032637903582177,0.6146415094339622,0.6757246376811594
27,0.07946888081532605,0.06682571322445709,0.7493683678625569,0.7962962962962963,0.6949306488437283,0.7487831905444284,0.6348679245283019,0.6986714975845411
28,0.07930007080087122,0.07756164277665281,0.7509894736842105,0.7493188010899182,0.7013072380464955,0.7065186109036449,0.6339622641509434,0.6407004830917874
29,0.07712916721937792,0.06485683233409688,0.7599133622125958,0.797972972972973,0.7177390232354475,0.7463073661300664,0.6483018867924528,0.697463768115942
30,0.07692674582409409,0.06970108555998779,0.7606617341424889,0.7927578402845135,0.711985366943116,0.7377355866246904,0.6508679245283019,0.7089371980676329
31,0.07439059095112782,0.06322501238057579,0.7712082262210797,0.8016850291639663,0.7296518494270842,0.7628520882432396,0.6623396226415095,0.7270531400966184
32,0.07434870818650947,0.0926205891629924,0.7685662070111314,0.6909214552873172,0.7279583906582384,0.6163283330669833,0.6597735849056604,0.5948067632850241
33,0.07156806930506004,0.061276681397272194,0.7793984342810053,0.8257527226137091,0.73939338821979,0.8045093221474289,0.6780377358490566,0.7493961352657005
34,0.07031504817503803,0.07082318964499783,0.7846850555784274,0.7871175523349436,0.7466722296435592,0.7399103993070955,0.6831698113207547,0.7179951690821256
35,0.07114494249955663,0.05940713114352618,0.780279375513558,0.8158325155381092,0.7431786946205013,0.7845121390294668,0.673811320754717,0.7397342995169082
36,0.06850362538616613,0.05627294705397841,0.7941943900848011,0.833984375,0.764968015146197,0.7859171892526329,0.6963018867924529,0.7524154589371981
37,0.06757105997823319,0.27198213526016274,0.7991519204109924,0.41450777202072536,0.7732776300564346,0.2906934904487375,0.6993207547169812,0.32065217391304346
38,0.06795962603137179,0.09992628519373815,0.8018230650280784,0.7104377104377104,0.7660755197856997,0.6226164615526133,0.7049056603773585,0.6044685990338164
39,0.06902407485134197,0.07039183864127034,0.7937179591504597,0.804806755440078,0.7621705349679441,0.7347588699458102,0.694188679245283,0.711352657004831
40,0.06516744662455792,0.05799022469903536,0.801624035728786,0.8378122036041733,0.7715783888178703,0.8306005388282381,0.7046037735849057,0.768719806763285
41,0.05843715712737362,0.05500642771738163,0.8257073565076799,0.8477574226152874,0.803288319125961,0.84188691554427,0.7353962264150944,0.782608695652174
42,0.06336864544423121,0.053031572253231844,0.8124748166653235,0.8492089118501776,0.7926039315508528,0.8367283884638351,0.7189433962264151,0.7705314009661836
43,0.061529856461399,0.049027645645510175,0.8165461847389558,0.8613138686131386,0.8010754838439326,0.8529175795511755,0.7195471698113207,0.7940821256038647
44,0.06121545267779872,0.05113642074275708,0.818862154985113,0.8462025316455696,0.8006491353983625,0.8211395314280193,0.726188679245283,0.7783816425120773
45,0.06152585209990447,0.05343698845177457,0.8170849420849421,0.8386683738796414,0.7903949331178592,0.8126279735842707,0.7270943396226415,0.7735507246376812
