epoch,train_loss,val_loss,train_micro_f1,val_micro_f1,train_macro_f1,val_macro_f1,train_exact_match,val_exact_match
1,0.19416290671420547,0.13835387338618726,0.26121703390798034,0.4878682842287695,0.2153201201663073,0.4017322879996045,0.15864150943396227,0.32910628019323673
2,0.1140328252720383,0.09860861949298692,0.616227648529129,0.7008787346221441,0.5832602800560754,0.700407788094472,0.46128301886792455,0.5561594202898551
3,0.09776748042961336,0.0891702210413661,0.689704694372139,0.7301694915254238,0.6734487691593855,0.7097541271304418,0.5449056603773584,0.6105072463768116
4,0.0890581454465974,0.08006292263018912,0.7227904537109887,0.7636239782016349,0.7206722239594412,0.7597776117799765,0.5871698113207547,0.6413043478260869
5,0.08261342325750387,0.07717810923926496,0.7515297767818667,0.7734915924826904,0.7502518141718679,0.7678295111018548,0.6227924528301887,0.6648550724637681
6,0.07447024976982261,0.07538969386458973,0.7734487734487735,0.7702612190221031,0.7761643610658502,0.7711120195234966,0.6528301886792452,0.660024154589372
7,0.07152624647572356,0.07002711931360517,0.7835952601058912,0.7943121693121693,0.7862783551937049,0.7938299107742283,0.6692830188679245,0.6896135265700483
8,0.06650633699938936,0.06726514801814937,0.8003667583562557,0.796593514575827,0.8046100814460003,0.7961713810754026,0.6893584905660377,0.6968599033816425
9,0.0499882560541045,0.04031051485686774,0.8588020046137936,0.8897908211052139,0.8646301372412464,0.8931501589122119,0.7800754716981132,0.8272946859903382
10,0.02738920862044928,0.03302007951382278,0.9253384912959381,0.9149524101934295,0.9305170646546039,0.9155673002511117,0.878943396226415,0.8725845410628019
11,0.017683303666564655,0.029401449441621846,0.9551326148436903,0.9256299938537185,0.9591731740454255,0.9312758490903136,0.9258867924528302,0.8882850241545893
12,0.012437505602274301,0.03085794849636186,0.9676586699058609,0.921604938271605,0.972912637694765,0.9325731777232569,0.9452075471698114,0.8894927536231884
13,0.008499935387721601,0.025858198906686426,0.9794556894852551,0.9417206290471786,0.9826445071510179,0.9442470425394732,0.9658867924528302,0.9124396135265701
14,0.007997325606784731,0.025086252371992034,0.9797184803995762,0.938134810710988,0.9819658056022782,0.9411189891068087,0.9655849056603774,0.908816425120773
15,0.006294093629099288,0.0339043373916892,0.9840284611308758,0.9227023737066342,0.9855918691577137,0.9297490852881968,0.9734339622641509,0.8888888888888888
16,0.005571789179208144,0.024095602268308113,0.9864772984815291,0.9457647775746496,0.9863439912446292,0.9535148714338076,0.9781132075471698,0.9190821256038647
17,0.004660272667430482,0.023030648461277572,0.9897249924448474,0.9499389499389499,0.990830908845669,0.953087480034496,0.9835471698113207,0.9281400966183575
18,0.0044490040932905,0.026188883460284286,0.9882264150943396,0.9439509954058193,0.9904314326126146,0.9485481550754676,0.9808301886792453,0.9233091787439613
19,0.003890831653520746,0.039685107182693365,0.9903337864370941,0.931991460811223,0.9915563293864941,0.940488109880919,0.9836981132075472,0.9094202898550725
