train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
2.0740186225825687,1.8668800030600927,0.28187919463087246,0.36092468307233405,0.25386784861426326,0.3334250689894151
1.7725501576081575,1.6434183271850427,0.4039895600298285,0.44668158090976884,0.385469937580862,0.4357498929194454
1.5770246666105356,1.4910785560728808,0.4753914988814318,0.4981357196122297,0.46472423750617325,0.47507526452367355
1.3973232980631431,1.407410771254725,0.5328113348247576,0.5398956002982849,0.5244658714605097,0.5206668593640355
1.2013011482738007,1.3393144435086062,0.6081282624906786,0.5749440715883669,0.6004947866175752,0.5652236261763521
1.0065896924887905,1.1339285863503692,0.674310216256525,0.6405667412378822,0.6688869051640114,0.6216152539127807
0.8754917594321533,1.068367920554813,0.714765100671141,0.6524981357196122,0.7100391025788124,0.6383950501598601
0.7428455755925729,1.151445405417463,0.7552199850857569,0.6405667412378822,0.7498200820271951,0.6199835960995338
0.7404866262125844,1.0988707185058253,0.7520507084265473,0.6539895600298284,0.7481690082271517,0.6489723675193425
0.7559228815488367,1.1529476701279882,0.7496271439224459,0.6353467561521253,0.7465186317667527,0.6059707091864589
0.5839357353874679,1.3458724599734426,0.8094705443698732,0.6070096942580164,0.8050511314339509,0.5647878568663542
0.5046304810367175,1.2147654454980121,0.8363161819537659,0.6346010439970171,0.8338676443685354,0.6098078946926248
0.39361086218860236,1.0673273612899978,0.8709917971662938,0.6853094705443699,0.8670878614695046,0.6673269662719951
0.32665349456421217,1.0834935725757562,0.8866517524235645,0.6845637583892618,0.8845792132518969,0.6820576027932549
0.27106846735648127,1.089115701265783,0.9060402684563759,0.6964951528709918,0.904890491976997,0.6981552860712633
0.24492598683375374,1.1992581927180734,0.9153616703952274,0.6853094705443699,0.9154388057251404,0.6802524091278185
0.20457882669148028,1.1617218480014162,0.9343773303504848,0.6927665920954511,0.9343878490814302,0.6834303193795239
0.16739255902173358,1.09232766147339,0.9446308724832215,0.7248322147651006,0.9440088188306519,0.7174380269742952
0.15913697640501145,1.2675126478087093,0.948173005219985,0.6905294556301268,0.9485416713329219,0.6835935867920918
0.1485110470645913,1.0758327365277154,0.9500372856077554,0.7375093214019388,0.9498334245552683,0.7281649010103923
0.11926979204330046,1.3010242121331643,0.9582401193139448,0.7188665175242357,0.9565237609734772,0.7043645798085292
0.12393028302969637,1.2797800866104967,0.9619686800894854,0.7054436987322893,0.9615402963628426,0.6937080788831383
0.0974376565213527,1.404811195701383,0.9701715137956749,0.7069351230425056,0.9698874646470051,0.6991935410233006
0.10204046995203322,1.344452376378107,0.9656972408650261,0.7069351230425056,0.9658273660868641,0.70104702724868
0.10335321075475368,1.4207858660610464,0.9664429530201343,0.6987322893363161,0.9662208841691896,0.6860099266163416
0.08575620491677127,1.701968111981215,0.9712900820283371,0.6592095451155854,0.9709911820633575,0.6362799660113304
0.062367535705312165,1.4974520053550613,0.9800521998508576,0.7069351230425056,0.9794073992806381,0.6993588174996588
0.07228818761655681,1.524632196565069,0.9774422073079791,0.703206562266965,0.9779415663183811,0.6955295890427661
0.052158282462738056,1.6594368820311327,0.9815436241610739,0.6964951528709918,0.9811765545285884,0.6924572948756113
0.07204413353996789,1.4657499014131175,0.9794929157345265,0.7345264727815063,0.979970087121158,0.7255753234895375
0.08109599961930473,1.4377847223651667,0.9752050708426547,0.7166293810589113,0.9756094726612432,0.7155590842723525
0.05078559061602636,1.906352554125007,0.9852721849366145,0.6592095451155854,0.9856532108528636,0.6569723554112835
0.05350629052985529,1.5538827887584166,0.9819164802386279,0.7203579418344519,0.9821146884710682,0.7205277557665181
0.06373925632686062,1.3509856977185413,0.9815436241610739,0.738255033557047,0.9816174418353398,0.7310430433958445
0.04708553711751075,1.6649789988861254,0.9843400447427293,0.7173750932140194,0.9846377568261367,0.7064894090049619
0.05374509787310601,1.5142535532169783,0.9821029082774049,0.7360178970917226,0.9824182706183479,0.7256192310252159
0.03553986313629904,1.8141620066697521,0.988441461595824,0.7046979865771812,0.9887646076290332,0.6927169563281108
