train_acc,train_loss,train_macro_f1,train_micro_f1,val_acc,val_loss,val_macro_f1,val_micro_f1
0.40417649040080833,1.8201462197038774,0.2722397408237531,0.40417649040080833,0.5491913746630728,1.4116300517979337,0.4066940584968542,0.5491913746630728
0.5434489727180869,1.3627855108819373,0.43349396566254284,0.5434489727180869,0.5923180592991913,1.29213873941622,0.5046245511514221,0.5923180592991913
0.6040754462782082,1.2181504513527577,0.5208359827808235,0.6040754462782082,0.7014824797843666,1.0358581067416868,0.6546176137399565,0.7014824797843666
0.6357359380262715,1.113868901768932,0.5774023266542044,0.6357359380262715,0.7115902964959568,0.9393444532011397,0.677430587757874,0.7115902964959568
0.6579656449983159,1.0484142630298598,0.6175523790457744,0.6579656449983159,0.7338274932614556,0.8647229395144069,0.7002011494335816,0.7338274932614556
0.6855843718423712,0.9982055646676975,0.6537435900407103,0.6855843718423712,0.7432614555256065,0.8529158937481215,0.7110597090476443,0.7432614555256065
0.6832266756483665,0.9782299343364814,0.6527641671320045,0.6832266756483665,0.7553908355795148,0.8061591225332327,0.7426276697056194,0.7553908355795148
0.7022566520714045,0.9274246416817855,0.6731291847005372,0.7022566520714045,0.7702156334231806,0.7661868788482686,0.7467187697027867,0.7702156334231806
0.7121926574604244,0.897746392756289,0.6912493993481174,0.7121926574604244,0.7789757412398922,0.7350025420400974,0.7633013266892517,0.7789757412398922
0.7157292017514315,0.8867357534645944,0.6952802035661886,0.7157292017514315,0.7547169811320755,0.791224027981334,0.7318035648025758,0.7547169811320755
0.7175816773324352,0.8613404519391726,0.7011037292933889,0.7175816773324352,0.7506738544474394,0.7736019342736092,0.7372411164113245,0.7506738544474394
0.7256652071404514,0.8397301712113223,0.7113771391928224,0.7256652071404514,0.8059299191374663,0.6609504408431504,0.8005924912112962,0.8059299191374663
0.742505894240485,0.8050314072769232,0.7237607894203588,0.742505894240485,0.7904312668463612,0.6848957584392671,0.7790482258938896,0.7904312668463612
0.7414954530144829,0.7917640581400799,0.7234022941192093,0.7414954530144829,0.7715633423180593,0.7653884252287307,0.7743732060706912,0.7715633423180593
0.7492421690804985,0.7726118639487938,0.7390325922949685,0.7492421690804985,0.8173854447439353,0.6651821815260658,0.8098724196490065,0.8173854447439353
0.7682721455035365,0.7357995925868308,0.752994016520675,0.7682721455035365,0.8241239892183289,0.6099116461617606,0.8256365110022557,0.8241239892183289
0.756483664533513,0.742216514794262,0.747518227926518,0.756483664533513,0.8335579514824798,0.5930820115492993,0.8344050815177801,0.8335579514824798
0.772987537891546,0.7127887818820551,0.7642554405688774,0.772987537891546,0.8234501347708895,0.5887031613013173,0.8251860215461854,0.8234501347708895
0.7733243516335466,0.7186261077005882,0.7631519756158437,0.7733243516335466,0.8342318059299192,0.5726206604682532,0.8351561964292503,0.8342318059299192
0.7687773661165376,0.7065726170117465,0.7568449203385501,0.7687773661165376,0.8140161725067385,0.6140418634662088,0.8111935731870258,0.8140161725067385
0.7761872684405524,0.7085957683148549,0.7687170621871456,0.7761872684405524,0.8160377358490566,0.6212014073149534,0.8137733966386388,0.8160377358490566
0.7763556753115527,0.6924418980684213,0.766259949788182,0.7763556753115527,0.8382749326145552,0.5561017347072976,0.8412189807862536,0.8382749326145552
0.7827551364095655,0.6734417263668128,0.773977366442014,0.7827551364095655,0.8308625336927223,0.5854668906837139,0.835082305553773,0.8308625336927223
0.7829235432805658,0.6737454197309602,0.7777506230606468,0.7829235432805658,0.8308625336927223,0.5592308244052923,0.8364285801182028,0.8308625336927223
0.7790501852475581,0.6725710491894792,0.7753335620063982,0.7790501852475581,0.8322102425876011,0.5835298656854989,0.833849877325099,0.8322102425876011
0.7851128326035702,0.6620313275759772,0.7758243735677804,0.7851128326035702,0.8463611859838275,0.5238688342735132,0.8513173263634888,0.8463611859838275
0.7871337150555743,0.6518600570830322,0.7777066339287064,0.7871337150555743,0.8436657681940701,0.5220063488197455,0.8443354891860152,0.8436657681940701
0.7903334456045806,0.6465595693409985,0.7802581570285624,0.7903334456045806,0.8490566037735849,0.5204414252563306,0.8530432283933242,0.8490566037735849
0.7975749410575952,0.6394421673254679,0.7908768141926054,0.7975749410575952,0.8429919137466307,0.5488111946701683,0.8473155450823151,0.8429919137466307
0.7886493768945773,0.6622642135331027,0.7821902692743955,0.7886493768945773,0.6637466307277629,1.049133273629808,0.6710573521865287,0.6637466307277629
0.7916807005725833,0.6350784902220906,0.7806856587116181,0.7916807005725833,0.22708894878706198,7.216692330702296,0.17508710424199964,0.22708894878706198
0.7992590097675986,0.628176622356217,0.7941373190931448,0.7992590097675986,0.8483827493261455,0.5146449074510615,0.854948232842366,0.8483827493261455
0.7947120242505894,0.6261937645558517,0.7902500658615755,0.7947120242505894,0.8524258760107817,0.5054353302058505,0.8560915505516283,0.8524258760107817
0.8041428090266083,0.6150097999158393,0.7988561156119284,0.8041428090266083,0.8497304582210242,0.5030607588769933,0.8515596273520166,0.8497304582210242
0.806500505220613,0.6217855879777848,0.7970647379153304,0.806500505220613,0.8504043126684636,0.5064600488005301,0.8525741539234805,0.8504043126684636
0.7962276860895925,0.6353840295033408,0.7894827999925281,0.7962276860895925,0.8524258760107817,0.49995115242717725,0.8566502159379058,0.8524258760107817
0.7947120242505894,0.6183411821988987,0.7913712883201244,0.7947120242505894,0.8517520215633423,0.5070992402551631,0.8565230963771323,0.8517520215633423
0.801953519703604,0.6123483788489332,0.79561092794836,0.801953519703604,0.8517520215633423,0.5116000991625927,0.8577058644551447,0.8517520215633423
0.802963960929606,0.6198201850031554,0.7977884788099027,0.802963960929606,0.8504043126684636,0.5061137943335299,0.8535343031450704,0.8504043126684636
0.7979117547995959,0.6179005948129669,0.7925695336993047,0.7979117547995959,0.8477088948787062,0.5058468548515737,0.8532798444327928,0.8477088948787062
