train_acc,train_loss,train_macro_f1,train_micro_f1,val_acc,val_loss,val_macro_f1,val_micro_f1
0.7325322652425457,0.8411868451619923,0.30638104889140383,0.7325322652425457,0.7935943060498221,0.6458159585440286,0.6448460989698366,0.7935943060498221
0.881619937694704,0.3738413351572616,0.48970677593894546,0.881619937694704,0.7580071174377224,0.7638869267553622,0.6271412856393942,0.7580071174377224
0.9056519804183356,0.2875955426857426,0.504334276246042,0.9056519804183356,0.8256227758007118,0.5030999966363465,0.6814008318910035,0.8256227758007118
0.9287939474855362,0.2332530753893432,0.5168188752216817,0.9287939474855362,0.8540925266903915,0.4404123997136791,0.7100039016926497,0.8540925266903915
0.9461504227859368,0.1796590607616641,0.5639651688776913,0.9461504227859368,0.9306049822064056,0.1838082658438496,0.7732454731284929,0.9306049822064056
0.9523809523809523,0.15425618028025337,0.587280027358188,0.9523809523809523,0.900355871886121,0.28570261274156195,0.7493949190970026,0.900355871886121
0.956386292834891,0.14204274007199233,0.6302660976533468,0.956386292834891,0.7882562277580071,0.7076979828899017,0.6511260294135458,0.7882562277580071
0.9621717846016912,0.12348019071404118,0.6185939056244637,0.9621717846016912,0.9323843416370107,0.19850949122441197,0.7745663282036154,0.9323843416370107
0.9804183355585224,0.06497092881253629,0.6556753524239944,0.9804183355585224,0.9733096085409253,0.08985791638413994,0.8093214528709697,0.9733096085409253
0.9893190921228304,0.04562592464215261,0.6616071235163727,0.9893190921228304,0.9626334519572953,0.12399851772072476,0.8047703944627246,0.9626334519572953
0.9862038273253226,0.047947971262186966,0.6479535705439156,0.9862038273253226,0.9750889679715302,0.07900407159323158,0.8137765250423871,0.9750889679715302
0.9862038273253226,0.04567757372246598,0.7486083336275552,0.9862038273253226,0.9341637010676157,0.18247624086315523,0.7802789823397146,0.9341637010676157
0.991099243435692,0.035878394781991105,0.663048842499676,0.991099243435692,0.9804270462633452,0.05991674868184477,0.8170064781105291,0.9804270462633452
0.9888740542946151,0.03447353319875468,0.7501432617841561,0.9888740542946151,0.9839857651245552,0.06656262967271524,0.8191871616333803,0.9839857651245552
0.991099243435692,0.03376221256915017,0.8250783774911998,0.991099243435692,0.9483985765124555,0.19171292576077145,0.7924327669047136,0.9483985765124555
0.9946595460614153,0.025370065665803434,0.8638301626160856,0.9946595460614153,0.9733096085409253,0.0849849435358285,0.8111598838555524,0.9733096085409253
0.9933244325767691,0.021663450175489273,0.7525950191305267,0.9933244325767691,0.9839857651245552,0.06552421704624047,0.8198391635559895,0.9839857651245552
0.9959946595460614,0.017369158650136253,0.8649382736548744,0.9959946595460614,0.9822064056939501,0.06323870494166303,0.8169773991000673,0.9822064056939501
0.9982198486871384,0.013329685344294453,0.9253112701601669,0.9982198486871384,0.9839857651245552,0.052649935561620044,0.8192297782944218,0.9839857651245552
0.9959946595460614,0.017831210552664612,0.9608272006834198,0.9959946595460614,0.9839857651245552,0.060643302349645475,0.8198391635559895,0.9839857651245552
0.9982198486871384,0.011743902947573786,0.9621648311318362,0.9982198486871384,0.9857651245551602,0.049513679223128486,0.8210218886305843,0.9857651245551602
0.9964396973742768,0.014074954712820626,0.9392023652388235,0.9964396973742768,0.9875444839857651,0.05024879449958585,0.8221119931726851,0.9875444839857651
0.9951045838896306,0.015649744810583753,0.960721203765298,0.9951045838896306,0.9768683274021353,0.0643650584048807,0.8151323711651058,0.9768683274021353
0.9951045838896306,0.024565429490144168,0.8745024370674049,0.9951045838896306,0.9786476868327402,0.0721048914771063,0.8166441592270751,0.9786476868327402
0.9982198486871384,0.01138576842628131,0.9622692393007698,0.9982198486871384,0.9875444839857651,0.05167458276678659,0.8225225597920064,0.9875444839857651
0.9977748108589231,0.012978776486969334,0.9620074799375049,0.9977748108589231,0.9893238434163701,0.04892453476388896,0.7060316792126694,0.9893238434163701
0.9982198486871384,0.011442988434525453,0.9621470038837138,0.9982198486871384,0.9893238434163701,0.04088050233418937,0.8236151649653488,0.9893238434163701
0.9986648865153538,0.00908186741116899,0.9625032738793673,0.9986648865153538,0.9875444839857651,0.04791420719874658,0.8220094404233221,0.9875444839857651
0.9986648865153538,0.008747907707678642,0.9625032738793673,0.9986648865153538,0.9893238434163701,0.04569427886467387,0.8236151649653488,0.9893238434163701
0.9968847352024922,0.013663614225960541,0.9611944270759261,0.9968847352024922,0.9893238434163701,0.04324069375908035,0.8236151649653488,0.9893238434163701
0.9982198486871384,0.00860646574641526,0.9622627028452975,0.9982198486871384,0.9911032028469751,0.04337955369975325,0.825305039212366,0.9911032028469751
0.9982198486871384,0.009386421141886531,0.9622952900835142,0.9982198486871384,0.9911032028469751,0.0462504697423362,0.825305039212366,0.9911032028469751
0.9977748108589231,0.00904783625760819,0.9619131023152341,0.9977748108589231,0.9911032028469751,0.04171031522415446,0.825305039212366,0.9911032028469751
0.9982198486871384,0.008719012956704877,0.9401260849749818,0.9982198486871384,0.9893238434163701,0.04160328098204902,0.8236151649653488,0.9893238434163701
0.9982198486871384,0.009530103997326143,0.9622366520625528,0.9982198486871384,0.9893238434163701,0.04492828005500588,0.8236151649653488,0.9893238434163701
