train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
2.1570663850401695,1.866632585113036,0.24757643549589858,0.3989560029828486,0.21966186127995832,0.3632866076987356
1.7899584418175205,1.6242052686472246,0.406972408650261,0.4541387024608501,0.3873481556518188,0.42925911456552585
1.5186128246526411,1.358262655985702,0.49794929157345263,0.5480984340044742,0.4816875102867335,0.531058099875274
1.287394000913206,1.2482863943759939,0.5762490678598061,0.5891126025354213,0.5665067660738887,0.5813661973978079
1.0942050729733097,1.0687474607087888,0.6549217002237137,0.639075316927666,0.648865561596127,0.6332255545645485
0.9241876755073656,1.0022851464287903,0.7153243847874721,0.686055182699478,0.7089208700630252,0.6789380983494083
0.766224006678434,0.955558177386532,0.7701342281879194,0.7039522744220731,0.7662258256828317,0.6964479862846703
0.6409353571627942,0.9198167647646933,0.8165548098434005,0.703206562266965,0.8139332554073468,0.6926246467142956
0.546319553071576,0.8502898566941554,0.8502982848620433,0.7225950782997763,0.8485324271729451,0.7165646260168935
0.47518496452028586,0.8432893091222406,0.877889634601044,0.7188665175242357,0.8752455772063624,0.7138016655579238
0.45295256558502905,0.8365134711944728,0.883482475764355,0.7300521998508576,0.8802594191477552,0.7242174451051095
