epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1
1,2.0712182834598907,1.6179123294321354,0.2857864600875716,0.44609164420485176,0.1938722451182591,0.3526899598195801
2,1.6550895106154044,1.5740265817333745,0.43027955540586055,0.45754716981132076,0.34982001999568685,0.3478671750715648
3,1.4874014790590542,1.6887935207217852,0.4904008083529808,0.408355795148248,0.41366605123721223,0.3580083699669454
4,1.3889788763014785,1.1516590690355737,0.5227349275850455,0.616576819407008,0.45410877692755774,0.5597484194835173
5,1.3435385521512595,1.1544198496643745,0.5397440215560795,0.6361185983827493,0.47954441861307384,0.5934506179720028
