train_loss,val_loss,train_acc,val_acc,train_micro_f1,val_micro_f1,train_macro_f1,val_macro_f1
0.22089314579963684,0.12937014335393907,0.15975,0.43225,0.5740332969769308,0.804953560371517,0.3658114552328711,0.5299672191316301
0.11496124878525733,0.08696218365430831,0.5211875,0.6445,0.8344686533358124,0.8817062734513856,0.5518297675893963,0.5853444566965901
0.08312518079578876,0.07503262084722519,0.665125,0.70725,0.8881615372089237,0.8989754895603683,0.5906034246836529,0.5966962417224194
0.06653839050233364,0.05513921561837196,0.74425,0.77625,0.915161642779099,0.9269997411338338,0.609286850472016,0.6167430043168186
0.05599601472914219,0.05134617137908935,0.7878125,0.79425,0.9298041156468015,0.9330924575779083,0.6193356237963459,0.6212128840538921
0.05101367308199406,0.052641587883234024,0.8144375,0.802,0.9370740464200041,0.9323183213920164,0.6243022950405437,0.6205391630963281
0.04381607410311699,0.0471870983839035,0.8438125,0.829,0.9469833729216152,0.9389521930103762,0.6310503994390232,0.6254804184829952
0.05251744080334902,0.054400603979825976,0.80975,0.8,0.934076934076934,0.9272611464968152,0.622344907491848,0.6174878066598187
0.04474110724031925,0.046017260193824766,0.842375,0.84075,0.9449746000094953,0.9425491439441979,0.6297244228999896,0.6280130610768672
0.036808257445693014,0.04326520746946335,0.87225,0.85225,0.9550886387674239,0.9459887291838156,0.6365484109572708,0.6302689315238375
0.03152498910203576,0.040086980909109116,0.893375,0.86525,0.9624927143554765,0.949214560595546,0.6415682932351852,0.6325219390490247
0.027278827987611293,0.037358825638890265,0.908,0.8805,0.9670716564764315,0.9541099344427635,0.6446383159715962,0.6359116676879398
0.02464426300302148,0.03216492918878794,0.9179375,0.895,0.9710425013748134,0.9607620489528135,0.6473199198435131,0.640049556104531
0.022624019663780928,0.047159255623817446,0.9258125,0.8565,0.9733666054585118,0.9440020225003161,0.6488694608252679,0.6289275656152798
0.020982578568160534,0.03772912475466728,0.93175,0.88425,0.9756082257533215,0.955453342574507,0.6503813132932488,0.6369552242056052
0.01443476658500731,0.0324803297072649,0.955625,0.91325,0.9837292700878525,0.9637149840195526,0.6558375314521846,0.642419932550138
0.011332835908047855,0.036748165294528005,0.9679375,0.909,0.9879065692517092,0.9621811785400176,0.6586307673431941,0.6413287941077395
0.011082717262208462,0.027747581553645432,0.9685,0.92575,0.9883611788999437,0.9709898684790133,0.6589335211482197,0.6471179099450156
0.01078180757095106,0.03672955454140901,0.9704375,0.9125,0.9888920178979317,0.9637994855386159,0.6592871796447651,0.6422476050849675
0.010745240046875552,0.04444604979828,0.9695,0.9055,0.9886146820556129,0.9605676252668592,0.6591042413833578,0.6400353052218849
0.010013227547518908,0.036542954191565516,0.971375,0.91575,0.9894289109901795,0.9656426332288401,0.6596475438007927,0.6435281597049525
0.012195786361349747,0.04173923147842288,0.965,0.908,0.9869573376704617,0.9618904350006268,0.6579923825934149,0.6412976819464734
0.01419612711877562,0.04207183681428432,0.9561875,0.882,0.9840097631191914,0.952823086574655,0.6560238049065387,0.6348773860743399
0.01642851891554892,0.03873443309962749,0.9459375,0.9,0.9808550273164165,0.9609832965647652,0.6539144880515694,0.6402478113923874
0.01432517468230799,0.04427773249521851,0.954875,0.89125,0.983673277710815,0.9548952142633719,0.6557881717884156,0.6366417821815976
0.012889909423654899,0.03861743395030499,0.9595625,0.90425,0.9854015740639327,0.9607830833908515,0.6569458134001741,0.6403043186995373
0.011521864521550015,0.036472007885575294,0.9648125,0.9155,0.9871828980109235,0.96467050864445,0.658136405830931,0.6429245921387671
0.010261986288009211,0.05179664868861437,0.9704375,0.8925,0.9889728309323823,0.9549742170796126,0.6593289143014973,0.6357345011523319
0.00991196745960042,0.042001602042466404,0.9731875,0.91525,0.9896949131339036,0.9650270474273493,0.6598165783354324,0.643124460245777
0.009867897398769856,0.0383093229457736,0.9716875,0.91525,0.9895849623119507,0.9649277184160905,0.6597425013244771,0.6431333585905469
0.00974952519906219,0.03571828666701913,0.9721875,0.92325,0.9897555406102883,0.9676489028213167,0.6598489038054839,0.6450295354404175
