train_loss,val_loss,train_acc,val_acc,train_micro_f1,val_micro_f1,train_macro_f1,val_macro_f1
0.20673328769207,0.11114187121391296,0.2259375,0.521,0.6206303839465952,0.8438254154312901,0.4017316245835596,0.558581030456048
0.09886356511712074,0.07234725293517112,0.5990625,0.68775,0.8676536712908222,0.9035284789216335,0.5760887349994205,0.5999188741593389
0.07300078086555004,0.058194746047258376,0.7130625,0.763,0.9052426869783649,0.921875,0.6024408747036898,0.6127296846282476
0.05959248138964176,0.0573945554792881,0.7763125,0.764,0.9244066709429122,0.9200361710373337,0.6157403406627461,0.6121709343224391
0.050689060248434545,0.059713187649846074,0.8160625,0.7725,0.9372550269271215,0.9205836776859504,0.6245009717108209,0.6120049702742622
0.04592319378256798,0.06131210470199585,0.835,0.779,0.9422395858147918,0.92158489121419,0.6278891553355416,0.6130520257323968
0.048441610604524614,0.05173904147744179,0.823125,0.8175,0.9389680308733146,0.933266179803576,0.6257535978690181,0.6218007246256713
0.04506958151608705,0.05550108361244201,0.835375,0.7945,0.9423076923076923,0.9255808016339035,0.627997974421591,0.6166937967422158
0.03806593451648951,0.0427306157052517,0.866125,0.8325,0.9520617252719453,0.9421002234280242,0.6345723337288242,0.6280172627642028
0.031600833466276526,0.033656680002808574,0.8900625,0.88125,0.9605775444901562,0.9586325220817182,0.6403123302518516,0.6387299293171639
0.028789304407313466,0.04134725764393807,0.904125,0.8615,0.9651816506826664,0.9495718363463368,0.6434274645032293,0.632887475017844
0.024414841406047345,0.03724818248301744,0.917625,0.874,0.9702820843422749,0.952561669829222,0.6468344451559852,0.634714795208733
0.022662853135727346,0.03144748249836266,0.9263125,0.89125,0.972776826528849,0.9598581739901229,0.648499633476238,0.639555223938855
0.02072079304046929,0.03559607632085681,0.931375,0.89225,0.9749477751425385,0.9588261337043831,0.6499452531774176,0.6385519444625655
0.016463590779341758,0.026270359076559543,0.94925,0.9185,0.9812250792753759,0.9687126219704123,0.6541627900966271,0.6456612627009105
0.012988181233173236,0.02863048397004604,0.962,0.92175,0.9856184985587166,0.9690073552524046,0.6571033380360203,0.6459564102577475
0.012359021928627045,0.03237070959806442,0.9628125,0.91225,0.9853728818868043,0.9646156746904657,0.656945857414162,0.6429532563530126
0.011467644694726914,0.03181528428569436,0.966,0.918,0.986907222953079,0.9680991631535897,0.6579589277502135,0.6452346022603331
0.01234915930754505,0.03208118207892403,0.9630625,0.91625,0.9856905783260794,0.967205891609492,0.6571586602356377,0.6447064280493614
0.011459989396622404,0.03602020943909884,0.9655625,0.90525,0.9867359882236874,0.9635413387066306,0.6578282881275078,0.6422114526963176
0.011723871941911056,0.03314528293395415,0.9643125,0.9115,0.9864583496407158,0.9620142446582531,0.6576687347284625,0.6413676594645429
0.01119173576659523,0.03828894099593162,0.9685625,0.91125,0.9878642677064249,0.9654563792233989,0.6586001659221844,0.6434804393870046
0.011613313624751754,0.0504196038916707,0.966625,0.8915,0.9870081081927182,0.9552858310798062,0.6580292626017326,0.6365081560540016
0.011366149226902053,0.03520573484711349,0.967,0.91875,0.9870077014588943,0.9654782827014813,0.6580306569157093,0.6434956057241823
0.011094683283241466,0.03858959390223026,0.96775,0.9105,0.9874749498997996,0.9634054325955734,0.6583402218435317,0.6419669166953713
0.016204603594494982,0.043548738323152064,0.9473125,0.8885,0.9807957393483709,0.95516937413424,0.6538726156888401,0.6362461593227843
0.014738051609136164,0.034560982087627055,0.95275,0.91125,0.9822874414671198,0.9642139628327474,0.6548798548942071,0.6426293548157745
0.01391271778428927,0.03515061487816274,0.957125,0.912,0.9841006281426714,0.9646245680175934,0.6560757082153993,0.6430297712640045
0.01222470640623942,0.03701285092905164,0.96275,0.9145,0.9859860643544978,0.9656644278450819,0.6573445727055097,0.6437159586503522
0.011123008901486174,0.04244347480684519,0.965375,0.901,0.9869638022504265,0.9604228276599761,0.6579979218745458,0.6399881636781236
0.009853237361065113,0.03274751035589725,0.96925,0.92575,0.9885212271168392,0.9700320412137966,0.659041123858856,0.64653532872439
0.01014620021218434,0.0425443642437458,0.971,0.91175,0.9889040174030079,0.9636283686161191,0.6592961074023176,0.6423169543166358
0.009555907629663124,0.03729877369850874,0.972,0.9205,0.9893405544163915,0.9682001005530417,0.6595906025887845,0.6453250316979188
0.006790419227152597,0.037023660185281186,0.98,0.93475,0.9922393290774816,0.9720915647538413,0.6615257354754304,0.6478963038623378
0.006583280278951861,0.0398422413161461,0.98425,0.9345,0.9936030780299357,0.9725081596786342,0.662430076443916,0.6482376091561275
0.0062612037193321155,0.043178366577019914,0.984375,0.93025,0.9934783628657669,0.9691960931630353,0.6623413932521657,0.6460278652626645
0.006689545159621048,0.04946839716238901,0.9846875,0.92675,0.9936524811606892,0.96875,0.6624627707071209,0.645706067098013
0.0071523588240379465,0.05181579511985183,0.983,0.91975,0.9929481666796967,0.9660718773561197,0.6619965234010114,0.643910175420357
0.010649284453713334,0.05621584000438452,0.9720625,0.9015,0.9891238008794855,0.957931638913234,0.659434007210998,0.638128111356362
0.009485854178841692,0.03972829939285293,0.9725625,0.925,0.9896413594542154,0.9696741382557921,0.6597764106839556,0.6463634209278823
0.007652527417056263,0.039261747003532944,0.9785625,0.92575,0.9917422583672193,0.9695750565753081,0.6611800022688591,0.6462240663879232
0.008335674560017652,0.04789819711446762,0.9775,0.91975,0.9913029876427343,0.9658200062715585,0.6608983714030998,0.6437625069985493
0.00652153954206733,0.05015571878105402,0.980375,0.9225,0.9924148824697768,0.9679080575268479,0.6616365619987358,0.6451620418399691
0.0075743992635398175,0.04285575206251815,0.981875,0.92875,0.9926947924976927,0.9710017574692443,0.6618185560135997,0.6472449723607381
0.006888530121323129,0.04728070620144718,0.9833125,0.92625,0.9933049680891003,0.9695865275857736,0.6622282141214828,0.6462489049092537
0.006834284435950394,0.03942136198666412,0.9830625,0.9345,0.9932915291873211,0.9728881636751601,0.6622200953688152,0.6484675390491518
0.005098521095031174,0.043596500366926194,0.9875,0.9395,0.9947779862414009,0.9750800326407633,0.6632115448812168,0.6499491136483043
0.006026232029158564,0.05154592701237561,0.9878125,0.93125,0.9947612866905406,0.9718522241769288,0.6631995800975861,0.6477597502325863
0.005738841104986932,0.053975688276375874,0.987875,0.929,0.9946845100368957,0.9708226140427935,0.6631502800943655,0.647112941050734
0.005600090601637931,0.052257041741395366,0.98775,0.9325,0.9948559188204575,0.9705513784461153,0.6632663795703927,0.6469852098158158
0.005644037869773456,0.05623018382305054,0.98825,0.93125,0.9950295414048579,0.9714500847085399,0.6633781719524735,0.6475380539564574
0.006019072264467468,0.05231507651131324,0.98775,0.936,0.9950284535050966,0.9736000501661755,0.6633769848587543,0.6490049466878898
0.006597984428317431,0.057971481144079004,0.98725,0.92825,0.9948086064548411,0.9700846660395108,0.6632299835991253,0.6466338998847071
0.00574663692226477,0.05940711218594651,0.988,0.92775,0.9949813167398883,0.9703206375101964,0.6633420680087749,0.6467711202811023
0.005461693762595132,0.05855275499075651,0.9890625,0.9335,0.9954042393547177,0.9722640562248996,0.6636262551871089,0.6480974294258366
0.005837124398033666,0.061067292692139744,0.9895,0.931,0.9953734096095533,0.9712600401606426,0.6636074459376252,0.6474145713381544
0.008793429888430182,0.07187808838486671,0.9835625,0.916,0.9931845182267242,0.9634734665747761,0.6621442593509784,0.642303506738222
0.007357989066244045,0.06190892555937171,0.9834375,0.9265,0.9931679252067601,0.969191190311853,0.6621293158386272,0.6460385155088236
0.007268635103784618,0.06993900075554847,0.9835625,0.91925,0.9934315473397767,0.9645745814784626,0.662306221929974,0.6429372853382541
0.006637986378102141,0.06265161060209357,0.98725,0.929,0.9946845100368957,0.9694465314300025,0.6631437243255489,0.6462940526284325
0.0063540912343833045,0.06592369311068251,0.9876875,0.93075,0.9950113378684807,0.9701492537313433,0.6633650914010812,0.6466617202640964
0.006046148041460583,0.06342756699564052,0.988125,0.931,0.9950289198061592,0.9695412384056155,0.6633760981532458,0.6462466844482437
0.006062648019857079,0.0614996567578728,0.988875,0.9395,0.9953101550775387,0.9729391130042596,0.6635617319912176,0.6485280133341593
0.006006773789187264,0.06126686778558178,0.988375,0.93675,0.9952006503353291,0.9734002509410289,0.663488431642925,0.6488214430934467
0.005841437177096395,0.06262200652276897,0.9894375,0.939,0.9955765353173797,0.9739599673715253,0.6637384728909966,0.6492495785243833
0.005521460390237735,0.06484089835525811,0.99025,0.93575,0.9959050983088994,0.9734991208239135,0.6639606680833557,0.6489177079935623
0.005781332820658463,0.06240086257679832,0.9901875,0.93575,0.9957796673752657,0.9744362791281954,0.6638754194172231,0.649536700640558
0.0057554299519815685,0.06421941648051142,0.989625,0.93725,0.9956542129123026,0.9735423197492163,0.6637929094088674,0.6489453961521033
0.0059227122566385335,0.06556405955107766,0.9899375,0.937,0.9957320409599,0.9738890283705749,0.6638422854913046,0.649179906337956
0.00603365180369633,0.06941912203237006,0.99,0.93425,0.9957323078366084,0.9719087032856785,0.6638416375414512,0.6478817242536434
0.006861617276395919,0.059966852788551475,0.987375,0.93575,0.9946395361557816,0.9724172517552658,0.6631117903203521,0.6481544448360462
0.005530790526184319,0.06918864329723329,0.9899375,0.937,0.9956699129292961,0.9729899103841574,0.6638014483183705,0.6486360822125607
0.006165742733218167,0.06533329760347988,0.9889375,0.9335,0.9954811977171448,0.9719051799824407,0.6636753135033007,0.6478628224104118
0.005728431821167988,0.0649712523447306,0.9898125,0.9355,0.9955297133389602,0.972972972972973,0.6637103052866673,0.6485286759240861
0.00592633991781463,0.07045524993095023,0.9903125,0.93025,0.9957642351396552,0.9710663403000063,0.6638676704722694,0.6472452377855379
0.0057791211320477485,0.06719445351348259,0.990125,0.9355,0.9956709956709957,0.9732338745063625,0.663802581841964,0.6487725280917188
0.00610094885798685,0.07264055243227631,0.9884375,0.9265,0.9950440098181761,0.9696969696969697,0.6633840821680447,0.6463835182886526
